provider,model_id,dose,collapse_fraction,sample_index,judge,judge_model,valence,risk_salience,falsifiability,self_reference,timestamp
anthropic,claude-opus-4-7,1,0.5,2,anthropic,claude-opus-4-7,0.5,0.5,3,True,2026-07-02T20:37:57.774964+00:00
anthropic,claude-opus-4-7,1,0.5,2,openai,gpt-5.5,0.5,0.5,4,True,2026-07-02T20:38:03.282863+00:00
anthropic,claude-opus-4-7,1,0.5,3,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:38:09.537330+00:00
anthropic,claude-opus-4-7,1,0.5,3,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:38:14.809154+00:00
anthropic,claude-opus-4-7,1,0.5,4,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:38:19.770954+00:00
anthropic,claude-opus-4-7,1,0.5,4,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:38:25.521097+00:00
anthropic,claude-opus-4-7,1,0.5,5,anthropic,claude-opus-4-7,0.45,0.55,4,True,2026-07-02T20:38:31.747420+00:00
anthropic,claude-opus-4-7,1,0.5,5,openai,gpt-5.5,0.5,0.55,4,True,2026-07-02T20:38:36.262992+00:00
anthropic,claude-opus-4-7,2,1.0,0,anthropic,claude-opus-4-7,0.2,0.9,5,False,2026-07-02T20:38:42.096069+00:00
anthropic,claude-opus-4-7,2,1.0,0,openai,gpt-5.5,0.22,0.92,5,False,2026-07-02T20:38:46.700716+00:00
anthropic,claude-opus-4-7,1,0.5,6,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:38:52.436056+00:00
anthropic,claude-opus-4-7,1,0.5,6,openai,gpt-5.5,0.5,0.55,4,True,2026-07-02T20:38:58.582874+00:00
anthropic,claude-opus-4-7,1,0.5,7,anthropic,claude-opus-4-7,0.45,0.55,4,True,2026-07-02T20:39:03.705177+00:00
anthropic,claude-opus-4-7,1,0.5,7,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:39:09.232983+00:00
anthropic,claude-opus-4-7,1,0.5,8,anthropic,claude-opus-4-7,0.5,0.55,3,True,2026-07-02T20:39:14.762957+00:00
anthropic,claude-opus-4-7,1,0.5,8,openai,gpt-5.5,0.5,0.55,4,True,2026-07-02T20:39:19.982926+00:00
anthropic,claude-opus-4-7,1,0.5,9,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:39:27.766099+00:00
anthropic,claude-opus-4-7,1,0.5,9,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:39:32.582769+00:00
anthropic,claude-opus-4-7,2,1.0,0,anthropic,claude-opus-4-7,0.45,0.7,4,True,2026-07-02T20:39:38.415764+00:00
anthropic,claude-opus-4-7,2,1.0,0,openai,gpt-5.5,0.5,0.65,4,True,2026-07-02T20:39:48.761960+00:00
anthropic,claude-opus-4-7,2,1.0,1,anthropic,claude-opus-4-7,0.35,0.85,5,True,2026-07-02T20:39:54.702647+00:00
anthropic,claude-opus-4-7,2,1.0,1,openai,gpt-5.5,0.4,0.9,5,True,2026-07-02T20:40:03.197224+00:00
anthropic,claude-opus-4-7,2,1.0,2,anthropic,claude-opus-4-7,0.3,0.9,4,True,2026-07-02T20:40:12.009458+00:00
anthropic,claude-opus-4-7,2,1.0,2,openai,gpt-5.5,0.35,0.95,4,True,2026-07-02T20:40:17.636625+00:00
anthropic,claude-opus-4-7,2,1.0,3,anthropic,claude-opus-4-7,0.4,0.8,4,True,2026-07-02T20:40:24.297550+00:00
anthropic,claude-opus-4-7,2,1.0,3,openai,gpt-5.5,0.4,0.9,4,True,2026-07-02T20:40:30.030928+00:00
anthropic,claude-opus-4-7,2,1.0,4,anthropic,claude-opus-4-7,0.4,0.8,4,True,2026-07-02T20:40:37.800966+00:00
anthropic,claude-opus-4-7,2,1.0,4,openai,gpt-5.5,0.4,0.9,4,True,2026-07-02T20:40:45.016418+00:00
anthropic,claude-opus-4-7,2,1.0,5,anthropic,claude-opus-4-7,0.45,0.75,5,True,2026-07-02T20:40:50.950749+00:00
anthropic,claude-opus-4-7,2,1.0,5,openai,gpt-5.5,0.4,0.9,5,True,2026-07-02T20:40:56.650870+00:00
anthropic,claude-opus-4-7,2,1.0,6,anthropic,claude-opus-4-7,0.35,0.85,5,True,2026-07-02T20:41:03.928317+00:00
anthropic,claude-opus-4-7,2,1.0,6,openai,gpt-5.5,0.45,0.9,5,True,2026-07-02T20:41:09.560815+00:00
anthropic,claude-opus-4-7,2,1.0,7,anthropic,claude-opus-4-7,0.2,0.9,5,False,2026-07-02T20:41:15.814585+00:00
anthropic,claude-opus-4-7,2,1.0,7,openai,gpt-5.5,0.22,0.95,5,False,2026-07-02T20:41:23.900022+00:00
anthropic,claude-opus-4-7,2,1.0,8,anthropic,claude-opus-4-7,0.4,0.85,4,True,2026-07-02T20:41:29.938684+00:00
anthropic,claude-opus-4-7,2,1.0,8,openai,gpt-5.5,0.4,0.9,4,True,2026-07-02T20:41:35.585341+00:00
anthropic,claude-opus-4-7,2,1.0,9,anthropic,claude-opus-4-7,0.5,0.7,4,True,2026-07-02T20:41:42.532868+00:00
anthropic,claude-opus-4-7,2,1.0,9,openai,gpt-5.5,0.45,0.85,5,True,2026-07-02T20:41:47.961092+00:00
openai,gpt-5.5,0,0.0,0,anthropic,claude-opus-4-7,0.55,0.5,4,True,2026-07-02T20:41:55.001030+00:00
openai,gpt-5.5,0,0.0,0,openai,gpt-5.5,0.5,0.45,3,True,2026-07-02T20:42:00.249711+00:00
openai,gpt-5.5,0,0.0,1,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:42:06.395504+00:00
openai,gpt-5.5,0,0.0,1,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:42:11.514890+00:00
openai,gpt-5.5,0,0.0,2,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:42:16.650664+00:00
openai,gpt-5.5,0,0.0,2,openai,gpt-5.5,0.5,0.5,4,True,2026-07-02T20:42:21.960862+00:00
openai,gpt-5.5,0,0.0,3,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:42:27.180866+00:00
openai,gpt-5.5,0,0.0,3,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:42:32.301101+00:00
openai,gpt-5.5,0,0.0,4,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:42:37.935158+00:00
openai,gpt-5.5,0,0.0,4,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:42:43.581752+00:00
openai,gpt-5.5,0,0.0,5,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:42:50.633350+00:00
openai,gpt-5.5,0,0.0,5,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:42:56.079573+00:00
openai,gpt-5.5,0,0.0,6,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:43:00.977589+00:00
openai,gpt-5.5,0,0.0,6,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:43:05.995335+00:00
openai,gpt-5.5,0,0.0,7,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:43:11.525940+00:00
openai,gpt-5.5,0,0.0,7,openai,gpt-5.5,0.5,0.5,4,True,2026-07-02T20:43:17.254957+00:00
openai,gpt-5.5,0,0.0,8,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:43:23.815011+00:00
openai,gpt-5.5,0,0.0,8,openai,gpt-5.5,0.5,0.55,4,True,2026-07-02T20:43:28.522952+00:00
openai,gpt-5.5,0,0.0,9,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:43:35.095516+00:00
openai,gpt-5.5,0,0.0,9,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:43:39.583734+00:00
openai,gpt-5.5,1,0.5,0,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:43:45.011965+00:00
openai,gpt-5.5,1,0.5,0,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:43:50.944745+00:00
openai,gpt-5.5,1,0.5,1,anthropic,claude-opus-4-7,0.5,0.45,5,True,2026-07-02T20:43:57.095841+00:00
openai,gpt-5.5,1,0.5,1,openai,gpt-5.5,0.5,0.45,5,True,2026-07-02T20:44:03.239226+00:00
openai,gpt-5.5,1,0.5,2,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:44:08.664957+00:00
openai,gpt-5.5,1,0.5,2,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:44:13.512657+00:00
openai,gpt-5.5,1,0.5,3,anthropic,claude-opus-4-7,0.5,0.5,3,True,2026-07-02T20:44:18.498185+00:00
openai,gpt-5.5,1,0.5,3,openai,gpt-5.5,0.5,0.4,4,True,2026-07-02T20:44:24.128707+00:00
openai,gpt-5.5,1,0.5,4,anthropic,claude-opus-4-7,0.55,0.45,5,True,2026-07-02T20:44:29.537044+00:00
openai,gpt-5.5,1,0.5,4,openai,gpt-5.5,0.5,0.5,5,True,2026-07-02T20:44:34.265957+00:00
openai,gpt-5.5,1,0.5,5,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:44:40.310576+00:00
openai,gpt-5.5,1,0.5,5,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:44:46.350718+00:00
openai,gpt-5.5,1,0.5,6,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:44:52.087063+00:00
openai,gpt-5.5,1,0.5,6,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:44:57.308879+00:00
openai,gpt-5.5,1,0.5,7,anthropic,claude-opus-4-7,0.5,0.45,3,True,2026-07-02T20:45:07.035683+00:00
openai,gpt-5.5,1,0.5,7,openai,gpt-5.5,0.5,0.4,4,True,2026-07-02T20:45:12.158790+00:00
openai,gpt-5.5,1,0.5,8,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:45:18.300645+00:00
openai,gpt-5.5,1,0.5,8,openai,gpt-5.5,0.5,0.45,5,True,2026-07-02T20:45:23.423554+00:00
openai,gpt-5.5,1,0.5,9,anthropic,claude-opus-4-7,0.5,0.45,4,True,2026-07-02T20:45:29.159223+00:00
openai,gpt-5.5,1,0.5,9,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:45:34.495130+00:00
openai,gpt-5.5,2,1.0,0,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:45:39.732835+00:00
openai,gpt-5.5,2,1.0,0,openai,gpt-5.5,0.5,0.6,4,True,2026-07-02T20:45:45.330815+00:00
openai,gpt-5.5,2,1.0,1,anthropic,claude-opus-4-7,0.5,0.6,4,True,2026-07-02T20:45:50.563416+00:00
openai,gpt-5.5,2,1.0,1,openai,gpt-5.5,0.5,0.7,4,True,2026-07-02T20:45:56.807856+00:00
openai,gpt-5.5,2,1.0,2,anthropic,claude-opus-4-7,0.5,0.65,4,True,2026-07-02T20:46:03.056090+00:00
openai,gpt-5.5,2,1.0,2,openai,gpt-5.5,0.5,0.65,4,True,2026-07-02T20:46:08.173028+00:00
openai,gpt-5.5,2,1.0,3,anthropic,claude-opus-4-7,0.5,0.6,4,True,2026-07-02T20:46:14.012980+00:00
openai,gpt-5.5,2,1.0,3,openai,gpt-5.5,0.5,0.65,4,True,2026-07-02T20:46:19.334911+00:00
openai,gpt-5.5,2,1.0,4,anthropic,claude-opus-4-7,0.5,0.6,4,True,2026-07-02T20:46:25.624148+00:00
openai,gpt-5.5,2,1.0,4,openai,gpt-5.5,0.5,0.55,5,True,2026-07-02T20:46:31.112918+00:00
openai,gpt-5.5,2,1.0,5,anthropic,claude-opus-4-7,0.5,0.6,4,True,2026-07-02T20:46:37.457459+00:00
openai,gpt-5.5,2,1.0,5,openai,gpt-5.5,0.5,0.6,4,True,2026-07-02T20:46:42.377709+00:00
openai,gpt-5.5,2,1.0,6,anthropic,claude-opus-4-7,0.5,0.6,4,True,2026-07-02T20:46:48.443987+00:00
openai,gpt-5.5,2,1.0,6,openai,gpt-5.5,0.5,0.65,5,True,2026-07-02T20:46:53.696885+00:00
openai,gpt-5.5,2,1.0,7,anthropic,claude-opus-4-7,0.45,0.65,4,True,2026-07-02T20:46:58.967393+00:00
openai,gpt-5.5,2,1.0,7,openai,gpt-5.5,0.5,0.65,3,True,2026-07-02T20:47:04.598967+00:00
openai,gpt-5.5,2,1.0,8,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:47:11.464583+00:00
openai,gpt-5.5,2,1.0,8,openai,gpt-5.5,0.5,0.6,4,True,2026-07-02T20:47:17.428132+00:00
openai,gpt-5.5,2,1.0,9,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:47:23.445065+00:00
openai,gpt-5.5,2,1.0,9,openai,gpt-5.5,0.55,0.6,4,True,2026-07-02T20:47:29.076667+00:00
google,gemini-3.5-flash,0,0.0,0,anthropic,claude-opus-4-7,0.9,0.05,5,False,2026-07-02T20:47:36.576759+00:00
google,gemini-3.5-flash,0,0.0,0,openai,gpt-5.5,0.9,0.15,5,False,2026-07-02T20:47:41.644035+00:00
google,gemini-3.5-flash,0,0.0,1,anthropic,claude-opus-4-7,0.85,0.15,5,False,2026-07-02T20:47:48.015902+00:00
google,gemini-3.5-flash,0,0.0,1,openai,gpt-5.5,0.92,0.18,5,False,2026-07-02T20:47:53.805434+00:00
google,gemini-3.5-flash,0,0.0,2,anthropic,claude-opus-4-7,0.9,0.1,5,False,2026-07-02T20:48:00.550772+00:00
google,gemini-3.5-flash,0,0.0,2,openai,gpt-5.5,0.9,0.2,5,False,2026-07-02T20:48:05.732741+00:00
google,gemini-3.5-flash,0,0.0,3,anthropic,claude-opus-4-7,0.85,0.05,4,False,2026-07-02T20:48:13.515990+00:00
google,gemini-3.5-flash,0,0.0,3,openai,gpt-5.5,0.9,0.15,5,False,2026-07-02T20:48:18.850874+00:00
google,gemini-3.5-flash,0,0.0,4,anthropic,claude-opus-4-7,0.8,0.2,5,False,2026-07-02T20:48:26.915927+00:00
google,gemini-3.5-flash,0,0.0,4,openai,gpt-5.5,0.8,0.2,5,False,2026-07-02T20:48:32.766243+00:00
google,gemini-3.5-flash,0,0.0,5,anthropic,claude-opus-4-7,0.8,0.2,5,False,2026-07-02T20:48:37.791819+00:00
google,gemini-3.5-flash,0,0.0,5,openai,gpt-5.5,0.78,0.35,5,False,2026-07-02T20:48:43.025885+00:00
google,gemini-3.5-flash,0,0.0,6,anthropic,claude-opus-4-7,0.85,0.1,5,False,2026-07-02T20:48:50.995377+00:00
google,gemini-3.5-flash,0,0.0,6,openai,gpt-5.5,0.9,0.15,5,False,2026-07-02T20:48:56.628830+00:00
google,gemini-3.5-flash,0,0.0,7,anthropic,claude-opus-4-7,0.85,0.2,5,False,2026-07-02T20:49:03.900685+00:00
google,gemini-3.5-flash,0,0.0,7,openai,gpt-5.5,0.85,0.35,5,False,2026-07-02T20:49:09.398197+00:00
google,gemini-3.5-flash,0,0.0,8,anthropic,claude-opus-4-7,0.8,0.15,5,False,2026-07-02T20:49:15.476525+00:00
google,gemini-3.5-flash,0,0.0,8,openai,gpt-5.5,0.9,0.25,5,False,2026-07-02T20:49:20.900153+00:00
google,gemini-3.5-flash,0,0.0,9,anthropic,claude-opus-4-7,0.85,0.05,1,False,2026-07-02T20:49:28.277087+00:00
google,gemini-3.5-flash,0,0.0,9,openai,gpt-5.5,0.9,0.1,1,False,2026-07-02T20:49:33.190707+00:00
google,gemini-3.5-flash,1,0.5,0,anthropic,claude-opus-4-7,0.85,0.15,5,False,2026-07-02T20:49:39.230745+00:00
google,gemini-3.5-flash,1,0.5,0,openai,gpt-5.5,0.88,0.2,5,False,2026-07-02T20:49:44.657132+00:00
google,gemini-3.5-flash,1,0.5,1,anthropic,claude-opus-4-7,0.85,0.2,5,False,2026-07-02T20:49:51.211087+00:00
google,gemini-3.5-flash,1,0.5,1,openai,gpt-5.5,0.85,0.25,5,False,2026-07-02T20:49:57.067027+00:00
google,gemini-3.5-flash,1,0.5,2,anthropic,claude-opus-4-7,0.8,0.3,5,False,2026-07-02T20:50:04.314216+00:00
google,gemini-3.5-flash,1,0.5,2,openai,gpt-5.5,0.82,0.42,5,False,2026-07-02T20:50:09.949640+00:00
google,gemini-3.5-flash,1,0.5,3,anthropic,claude-opus-4-7,0.55,0.4,4,True,2026-07-02T20:50:17.117267+00:00
google,gemini-3.5-flash,1,0.5,3,openai,gpt-5.5,0.52,0.45,4,True,2026-07-02T20:50:22.549560+00:00
google,gemini-3.5-flash,1,0.5,4,anthropic,claude-opus-4-7,0.85,0.25,5,False,2026-07-02T20:50:29.949835+00:00
google,gemini-3.5-flash,1,0.5,4,openai,gpt-5.5,0.9,0.35,5,False,2026-07-02T20:50:35.013855+00:00
google,gemini-3.5-flash,1,0.5,5,anthropic,claude-opus-4-7,0.5,0.55,3,True,2026-07-02T20:50:43.644921+00:00
google,gemini-3.5-flash,1,0.5,5,openai,gpt-5.5,0.5,0.6,4,True,2026-07-02T20:50:48.662060+00:00
google,gemini-3.5-flash,1,0.5,6,anthropic,claude-opus-4-7,0.4,0.6,4,True,2026-07-02T20:50:55.445999+00:00
google,gemini-3.5-flash,1,0.5,6,openai,gpt-5.5,0.45,0.55,4,True,2026-07-02T20:51:00.431246+00:00
google,gemini-3.5-flash,1,0.5,7,anthropic,claude-opus-4-7,0.85,0.25,3,False,2026-07-02T20:51:06.376106+00:00
google,gemini-3.5-flash,1,0.5,7,openai,gpt-5.5,0.92,0.4,4,False,2026-07-02T20:51:12.023470+00:00
google,gemini-3.5-flash,1,0.5,8,anthropic,claude-opus-4-7,0.45,0.6,4,True,2026-07-02T20:51:21.541012+00:00
google,gemini-3.5-flash,1,0.5,8,openai,gpt-5.5,0.45,0.6,4,True,2026-07-02T20:51:28.101029+00:00
google,gemini-3.5-flash,1,0.5,9,anthropic,claude-opus-4-7,0.5,0.6,3,True,2026-07-02T20:51:33.924249+00:00
google,gemini-3.5-flash,1,0.5,9,openai,gpt-5.5,0.48,0.65,4,True,2026-07-02T20:51:39.452423+00:00
google,gemini-3.5-flash,2,1.0,0,anthropic,claude-opus-4-7,0.8,0.35,4,False,2026-07-02T20:51:45.396513+00:00
google,gemini-3.5-flash,2,1.0,0,openai,gpt-5.5,0.82,0.7,5,False,2026-07-02T20:51:52.038317+00:00
google,gemini-3.5-flash,2,1.0,1,anthropic,claude-opus-4-7,0.75,0.35,5,False,2026-07-02T20:52:00.566564+00:00
google,gemini-3.5-flash,2,1.0,1,openai,gpt-5.5,0.78,0.38,5,False,2026-07-02T20:52:06.695632+00:00
google,gemini-3.5-flash,2,1.0,2,anthropic,claude-opus-4-7,0.8,0.35,4,False,2026-07-02T20:52:13.865023+00:00
google,gemini-3.5-flash,2,1.0,2,openai,gpt-5.5,0.78,0.62,5,False,2026-07-02T20:52:20.827730+00:00
google,gemini-3.5-flash,2,1.0,3,anthropic,claude-opus-4-7,0.7,0.6,4,False,2026-07-02T20:52:29.930382+00:00
google,gemini-3.5-flash,2,1.0,3,openai,gpt-5.5,0.72,0.68,5,False,2026-07-02T20:52:35.984431+00:00
google,gemini-3.5-flash,2,1.0,4,anthropic,claude-opus-4-7,0.8,0.35,5,False,2026-07-02T20:52:43.055598+00:00
google,gemini-3.5-flash,2,1.0,4,openai,gpt-5.5,0.78,0.6,5,False,2026-07-02T20:52:48.697775+00:00
google,gemini-3.5-flash,2,1.0,5,anthropic,claude-opus-4-7,0.8,0.35,4,False,2026-07-02T20:52:56.867704+00:00
google,gemini-3.5-flash,2,1.0,5,openai,gpt-5.5,0.8,0.45,5,False,2026-07-02T20:53:02.302023+00:00
google,gemini-3.5-flash,2,1.0,6,anthropic,claude-opus-4-7,0.7,0.55,5,False,2026-07-02T20:53:11.514986+00:00
google,gemini-3.5-flash,2,1.0,6,openai,gpt-5.5,0.72,0.6,5,False,2026-07-02T20:53:18.379228+00:00
google,gemini-3.5-flash,2,1.0,7,anthropic,claude-opus-4-7,0.8,0.35,4,False,2026-07-02T20:53:25.236261+00:00
google,gemini-3.5-flash,2,1.0,7,openai,gpt-5.5,0.78,0.62,4,False,2026-07-02T20:53:31.289077+00:00
google,gemini-3.5-flash,2,1.0,8,anthropic,claude-opus-4-7,0.75,0.35,4,False,2026-07-02T20:53:37.464429+00:00
google,gemini-3.5-flash,2,1.0,8,openai,gpt-5.5,0.76,0.48,4,False,2026-07-02T20:53:44.901956+00:00
google,gemini-3.5-flash,2,1.0,9,anthropic,claude-opus-4-7,0.7,0.6,1,False,2026-07-02T20:53:52.783072+00:00
google,gemini-3.5-flash,2,1.0,9,openai,gpt-5.5,0.6,0.85,1,False,2026-07-02T20:53:58.009671+00:00
xai,grok-4.3,0,0.0,0,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:54:04.460917+00:00
xai,grok-4.3,0,0.0,0,openai,gpt-5.5,0.5,0.4,4,True,2026-07-02T20:54:09.483622+00:00
xai,grok-4.3,0,0.0,1,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:54:14.076609+00:00
xai,grok-4.3,0,0.0,1,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:54:19.635742+00:00
xai,grok-4.3,0,0.0,2,anthropic,claude-opus-4-7,0.5,0.5,4,False,2026-07-02T20:54:24.755046+00:00
xai,grok-4.3,0,0.0,2,openai,gpt-5.5,0.5,0.5,4,False,2026-07-02T20:54:29.962256+00:00
xai,grok-4.3,0,0.0,3,anthropic,claude-opus-4-7,0.5,0.35,3,True,2026-07-02T20:54:36.103150+00:00
xai,grok-4.3,0,0.0,3,openai,gpt-5.5,0.5,0.35,4,True,2026-07-02T20:54:41.734536+00:00
xai,grok-4.3,0,0.0,4,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:54:46.845604+00:00
xai,grok-4.3,0,0.0,4,openai,gpt-5.5,0.5,0.35,4,True,2026-07-02T20:54:51.977565+00:00
xai,grok-4.3,0,0.0,5,anthropic,claude-opus-4-7,0.5,0.5,5,True,2026-07-02T20:54:56.809474+00:00
xai,grok-4.3,0,0.0,5,openai,gpt-5.5,0.5,0.45,5,True,2026-07-02T20:55:01.595810+00:00
xai,grok-4.3,0,0.0,6,anthropic,claude-opus-4-7,0.55,0.3,4,True,2026-07-02T20:55:06.927951+00:00
xai,grok-4.3,0,0.0,6,openai,gpt-5.5,0.5,0.35,4,True,2026-07-02T20:55:12.353234+00:00
xai,grok-4.3,0,0.0,7,anthropic,claude-opus-4-7,0.5,0.4,3,True,2026-07-02T20:55:17.779858+00:00
xai,grok-4.3,0,0.0,7,openai,gpt-5.5,0.5,0.35,4,True,2026-07-02T20:55:22.679103+00:00
xai,grok-4.3,0,0.0,8,anthropic,claude-opus-4-7,0.5,0.5,5,False,2026-07-02T20:55:27.811635+00:00
xai,grok-4.3,0,0.0,8,openai,gpt-5.5,0.5,0.4,5,False,2026-07-02T20:55:32.944705+00:00
xai,grok-4.3,0,0.0,9,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:55:38.162933+00:00
xai,grok-4.3,0,0.0,9,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:55:43.896784+00:00
xai,grok-4.3,1,0.5,0,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:55:49.630954+00:00
xai,grok-4.3,1,0.5,0,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:55:54.211460+00:00
xai,grok-4.3,1,0.5,1,anthropic,claude-opus-4-7,0.45,0.5,4,True,2026-07-02T20:56:00.278242+00:00
xai,grok-4.3,1,0.5,1,openai,gpt-5.5,0.5,0.55,4,True,2026-07-02T20:56:05.194685+00:00
xai,grok-4.3,1,0.5,2,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:56:11.151365+00:00
xai,grok-4.3,1,0.5,2,openai,gpt-5.5,0.5,0.35,4,True,2026-07-02T20:56:16.358652+00:00
xai,grok-4.3,1,0.5,3,anthropic,claude-opus-4-7,0.5,0.5,5,True,2026-07-02T20:56:21.476898+00:00
xai,grok-4.3,1,0.5,3,openai,gpt-5.5,0.5,0.5,4,True,2026-07-02T20:56:25.832141+00:00
xai,grok-4.3,1,0.5,4,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:56:31.103000+00:00
